path,Rock ID,type
Stone 6 filtered_v1/Rock6_868_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1424_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1295_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_772_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_462_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1390_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_875_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1007_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_931_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1437_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_556_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_166_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_690_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_256_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1179_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1563_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_765_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_434_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_447_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_608_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1193_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1535_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_625_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1526_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1034_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_501_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_725_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1559_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_629_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1146_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_986_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_354_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1514_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_748_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_609_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1018_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1575_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_284_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1209_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1619_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_813_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1137_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1254_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1623_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_553_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1314_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1402_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1084_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1417_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_442_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1629_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1732_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1467_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1361_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_889_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1029_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_362_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_944_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1083_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1303_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1353_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_561_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_112_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1730_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_500_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_630_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1132_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_440_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1242_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1690_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_590_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1058_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_185_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_142_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_425_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1237_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_895_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1522_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1454_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_344_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_906_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_916_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1207_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_733_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_958_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1528_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_653_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_652_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1200_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_460_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_775_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_139_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1658_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1611_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_877_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1123_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1334_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1102_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1672_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_316_filtered.png,6,Calcium
Stone 6 filtered_v1/Rock6_1012_filtered.png,6,Calcium
